R,F,M,C,cluster
13.0,2,102.97,0.0,1
15.27,2,29.1,0.0,1
14.57,2,325.46,0.0,1
9.53,2,75.18,0.0,1
12.27,2,56.98,0.0,1
10.23,2,31.98,0.0,1
15.53,2,21.98,0.0,1
16.03,2,49.96,0.09097625,1
11.1,4,39.98,0.0,1
12.2,2,18.68,0.0,1
9.87,2,163.94,0.0,1
8.83,2,30.98,0.0,1
14.23,2,81.97,0.0454654,1
12.4,2,39.98,0.02382085,1
10.8,2,59.97,0.0,1
10.87,2,569.98,0.0,1
11.07,2,138.92,0.1107046,1
14.9,3,32.04,0.0,1
16.57,2,117.18,0.0,1
15.23,2,36.01,0.0,1
15.2,2,46.13,0.0,1
12.6,2,35.98,0.0,1
9.3,2,85.74,0.0,1
9.83,2,50.2,0.0746016,1
8.67,2,371.97,0.0,0
8.83,2,108.89,0.0,1
16.07,2,92.2,0.0,1
16.9,2,164.74,0.00944755,1
13.37,2,79.42,0.0,1
12.47,2,82.98,0.02381255,1
12.77,2,60.28,0.0,1
15.57,2,83.7,0.0,1
9.03,2,66.69,0.0,1
14.77,2,33.98,0.0,1
12.33,2,59.98,0.0909366,1
12.5,2,74.67,0.0,1
16.13,2,35.54,0.0,1
11.3,2,57.62,0.0,1
16.83,2,115.96,0.015055200000000003,1
16.17,2,131.96,0.0,1
9.13,2,147.62,0.0,1
16.87,2,50.74,0.0,1
10.27,2,134.98,0.0,1
16.8,3,181.62,0.0,1
16.77,2,67.98,0.0,1
15.8,5,99.68,0.0,1
13.17,2,387.97,0.0,1
9.3,2,46.97,0.0,1
11.47,2,109.61,0.0,1
14.5,2,161.94,0.02381795,1
16.9,2,259.98,0.0,1
8.73,3,246.96,0.03031026667,0
14.77,2,44.55,0.0,1
9.23,2,193.88,0.0,1
13.1,2,70.0,0.0,1
8.73,2,49.96,0.0,1
15.47,2,175.52,0.0,1
16.8,2,119.97,0.0,1
10.67,2,60.05,0.0,1
15.57,2,38.54,0.0,1
11.33,2,86.98,0.0,1
11.33,2,285.48,0.0,1
14.7,2,84.0,0.0,1
14.27,2,83.5,0.0,1
9.2,2,74.98,0.0238133,1
10.83,2,12.49,0.0,1
11.9,2,125.97,0.05417585,1
8.27,2,129.98,0.0,1
10.5,2,39.98,0.09095039999999999,1
8.23,2,80.53,0.0,1
10.0,2,35.97,0.0,1
14.03,3,35.48,0.0,1
14.73,2,269.98,0.0370384,1
10.33,2,81.48,0.0,1
16.27,2,26.93,0.0,1
16.57,2,66.98,0.0,1
9.23,2,52.07,0.0,1
10.37,2,439.98,0.0,1
14.87,2,66.1,0.0,1
9.5,2,67.76,0.0,1
12.4,2,47.98,0.0,1
10.67,2,37.98,0.0,1
8.13,2,108.62,0.0,1
13.33,2,56.97,0.0,1
10.63,2,32.98,0.0,1
13.17,2,93.97,0.0,1
16.63,3,137.11,0.0,1
8.63,2,21.48,0.0,1
8.97,2,231.98,0.0,1
9.47,2,66.7,0.0870055,1
16.6,2,112.96,0.0,1
14.17,2,130.57,0.0,1
